nom;nb_courses;nb_victoires;gains_total;somme_distances;derniere_date
NINA DE LA DUNE;1;0;0;2700.0;2026-01-10
NOUS QUATRE;3;1;0;8100.0;2026-03-21
NEW HOLIDAY;1;0;0;2700.0;2026-01-10
NINA DE MAI;2;0;0;5575.0;2026-06-13
NOIRE INTENSE;5;1;0;12450.0;2026-05-26
NONEKA;6;1;0;15150.0;2026-06-05
MELINA SUPREME;6;0;0;14125.0;2026-03-17
MODE DU VALLON;7;0;0;16225.0;2026-07-12
MAYA D'AVRIL;5;0;0;13150.0;2026-07-11
MIDNIGHT MOLLY;1;0;0;2175.0;2026-01-10
MA AM CHENU;4;0;0;9675.0;2026-02-22
MOLLY MADRIK;6;3;0;15825.0;2026-06-06
MAVANA DU DIGEON;1;0;0;2175.0;2026-01-10
MADNESS SAM;2;1;0;4275.0;2026-01-19
MARIE DI LEONE;4;0;0;10275.0;2026-04-07
MAMJACK SACHA;4;0;0;9850.0;2026-06-20
MERIDA DU GRANIT;2;0;0;4875.0;2026-01-25
HURRICANE CARTER;5;0;0;13350.0;2026-06-06
ISOFOU DU CHENE;6;1;0;16050.0;2026-06-21
HERO SIBEY;3;0;0;8750.0;2026-06-14
HE AND ME;3;1;0;9700.0;2026-02-22
JINGLE DU PONT;7;0;0;18425.0;2026-06-06
HAPPY DANICA;5;0;0;14700.0;2026-03-07
IDEAL DU ROCHER;4;1;0;10600.0;2026-04-01
JAZZMAN DEBAILLEUL;8;0;0;23775.0;2026-06-21
HYMNE DU GERS;8;0;0;22600.0;2026-06-14
IGREC DE CELLAND;5;1;0;13225.0;2026-06-30
HUBBLE DU VIVIER;1;1;0;2700.0;2026-01-10
HIDALGO DES NOES;8;0;0;22250.0;2026-06-14
HULYSSE DIGEO;9;0;0;22809.0;2026-07-11
KIBORA BUISSONAY;8;0;0;21700.0;2026-07-09
KARA DE PIERREPONT;9;2;0;24925.0;2026-07-09
KOTKITA;9;1;0;23550.0;2026-06-20
KELOWA STARDUST;9;0;0;25375.0;2026-06-26
KISS ME DU RUEL;5;0;0;11925.0;2026-07-17
KABALA QUICK;1;0;0;2700.0;2026-01-10
KAPELLA DAIRPET;4;1;0;10525.0;2026-04-16
KYRA D'ESSARTS;6;0;0;16925.0;2026-05-21
KYA D'ERABLE;5;0;0;13750.0;2026-07-12
KABALVA;9;0;0;23375.0;2026-06-22
KOH LANTA;3;0;0;8825.0;2026-02-21
KELOWNA LEGEND;6;1;0;16175.0;2026-05-23
IRINA DE MONTCEAU;3;0;0;8450.0;2026-07-07
NIAGARA RIVER;7;3;0;18750.0;2026-07-10
DENIA;4;0;0;9750.0;2026-05-22
KIVALA RENARDIER;8;1;0;22025.0;2026-06-17
KEY OF LOVE;6;1;0;16650.0;2026-06-21
ISLA (GER);5;1;0;11550.0;2026-05-02
DILVA JET;7;0;0;17100.0;2026-06-19
XERAVA C.D.;6;0;0;14725.0;2026-06-27
DIVINA TRIO;4;0;0;10625.0;2026-05-20
JOUVENCE DE CAREL;2;0;0;5550.0;2026-01-18
KALITA D'HENINEL;7;0;0;19350.0;2026-07-15
JALOUZ D'OLIVERIE;5;0;0;12600.0;2026-06-19
DADA DEL RONCO;4;0;0;10550.0;2026-07-03
JUNKIE (SWE);7;0;0;17700.0;2026-06-06
KEY LADY;6;0;0;15700.0;2026-07-03
FUNNY GIRL (ITY);1;0;0;2850.0;2026-01-10
